Réponse,"Soumis le :",Institution,Département,Cours,Groupe,ID,"Nom complet","Nom d'utilisateur",Q01_age,Q02_internet,"Q03_concerne->La politique actuelle","Q03_concerne->L'épidémie de COVID19",Q03_concerne->L'environnement,"Q03_concerne->Les mathématiques","Q03_concerne->La technologie","Q03_concerne->La consommation de sucre","Q03_concerne->L'exploration spatiale",Q04_cinéma,Q05_livres,"Q06_confiance->La justice","Q06_confiance->Les médias","Q06_confiance->La police","Q06_confiance->L'Assemblée nationale",Q06_confiance->L'administration,"Q06_confiance->La science","Q06_confiance->Les grandes entreprises","Q06_confiance->Les associations","Q06_confiance->Le Gouvernement","Q06_confiance->Les agences gouvernementales qui contrôlent les risques liés à la santé et à l'environnement",Q07_interet,Q08_science
6971,"21/09/2020 17:19:52",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme1,,18,4,2,5,5,1,4,1,1,0,5,4,3,3,3,4,5,1,4,3,4,"1 : Beaucoup","Le progrès, le savoir, la vérité"
7068,"22/09/2020 23:43:13",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme2,,17,2,5,3,5,5,3,2,2,0,6,3,3,3,3,1,5,3,5,4,3,"1 : Beaucoup","Lorsque je pense à la science je pense à la curiosité, à la rigueur, à un raisonnement de qualité"
7048,"22/09/2020 18:24:48",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme3,,17,4,5,4,5,2,3,4,3,2,16,4,3,4,4,3,4,1,2,4,3,"3 : Peu","Génétique, innovations concernant le développement durable, étude des phénomènes naturels liés au réchauffement climatique, avancées en médecine, avancées sur la conquête spatiale"
7067,"22/09/2020 23:32:23",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme4,,18,3,4,5,5,2,2,1,5,00,10,3,2,2,3,2,3,1,2,2,2,"2 : Assez","Un savoir qui se veut expliquer le monde, une variété de disciplines, la recherche de la véracité "
6975,"21/09/2020 18:16:31",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme5,,18,7,4,4,5,4,3,2,5,2,10.15,4,3,3,4,3,5,1,5,3,5,"1 : Beaucoup","Je pense que la science est fascinante et nécessaire pour donner du poids à la plupart des autres disciplines. Je trouve qu'elle permet des choses qui dépassent mon entendement et j'aimerai énormément avoir plus de culture scientifique pour mieux les comprendre. Il faut cependant faire attention à prendre du recul parce que je crois que la science ""dure"" est aussi susceptible de faire des erreurs, et parfois dangereuse si on la prends en compte à la lettre, sans l'adapter notamment dans le cadre des sciences sociales. Je suis aussi un peu contrariée par le statut si élitiste que les sciences ""dures"" ont en France par rapport aux autres disciplines que je trouve aussi intéressantes comme les sciences humaines, la littérature, etc. Il faudrait rééquilibrer tout cela pour avoir aussi un meilleur rapport, plus sain, aux sciences fondamentales et pour que plus de personnes s'y intéressent."
6973,"21/09/2020 17:34:51",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme6,,17,5,5,5,5,3,3,1,2,1,10,5,3,3,3,4,5,2,3,4,4,"1 : Beaucoup","Quand je pense à la science, j'associe ce terme avec tout ce qui est recherche pour expliquer des phénomènes. Je pense surtout aux sciences naturelles de type physique etc, qui traitent des phénomènes naturels. La science est pour moi aussi un ensemble de connaissances acquises au fur et à mesure des siècles et d'expériences réalisées.&nbsp;"
6954,"21/09/2020 13:37:36",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme7,,18,2,5,4,4,1,3,5,1,2,1,3,2,4,2,2,5,2,4,3,4,"2 : Assez","Quand on me parle de science, je pense directement à des faits, à des preuves, à des expériences. C'est grâce à la science que le monde a évolué. Personnellement je crois en la science. Mais science sans conscience n'est que ruine de l'âme. "
6820,"16/09/2020 17:07:46",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme8,,18,8,2,4,5,3,3,5,2,8,15,1,4,2,3,4,5,2,5,3,3,"2 : Assez","Aux anomaux et aux insectes, à l'étude des écosystèmes, à la médecine, à l'astronomie, aux ingénieurs, aux datas&nbsp;"
6976,"21/09/2020 18:43:37",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme9,,18,6,5,4,5,1,2,2,3,4,10,5,4,3,5,4,5,3,4,5,5,"2 : Assez","Application dans tous les domaines, méthode, sérieux, expériences, contrôles, hypothèses, temps, rechercheEffet Dunning-Kruger, scepticisme, doutes, remise en question, anti-masques"
7051,"22/09/2020 19:06:45",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme10,,17,6,3,4,5,4,3,5,2,5,6,3,2,3,4,4,4,3,3,3,3,"2 : Assez","technologie, gestion des ressources, observation, innovation, intérêt commun, éducation&nbsp;"
7070,"23/09/2020 07:44:48",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme11,,17,2,4,4,5,2,2,3,1,3,10,5,2,5,2,3,4,2,3,4,5,"3 : Peu","nécessité ; expertise ; efficacité&nbsp;"
6962,"21/09/2020 15:53:06",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme12,,18,5,3,5,5,2,3,2,1,3,2,2,2,3,3,3,4,2,3,3,3,"2 : Assez","Technologie, astronomie, informatique, biologie = domaine très vaste,  découvertes, médecine, sciences sociales, physique, personnes célèbres pour leur travaux ( Curie, Newton, Hawking...), complexité des phénomènes quotidiens ( son, lumière etc..).. "
6823,"16/09/2020 18:47:27",,,"MATHEMATIQUES - NIVEAU AVANCE par Emilien SCHULTZ (13583)",,,Anonyme13,,18,6,5,4,5,3,2,3,3,2,4,3,2,4,3,4,5,2,2,4,4,"2 : Assez","La théorie de l'évolution, le progrès, l'éthique, la médecine, Marie Curie, la génétique, la biologie, l'environnement, une blouse"
